titulo;preco;desc;erate;url;lat;lng;Quartos;WC's;Tam. do Lote (m²);Ano Construção;Casas de Banho;Total de Assoalhadas;Total m² ;Lugares de Estacionamento;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:;Volume cúbico (m³):
MONTIJO T3 NOVO (129m2)- PRESTAÇÕES DESDE 450€;156.560 €; COMPRE CASA NOVA E FIQUE A PAGAR MENOS DO QUE NUM ARRENDAMENTO.Aproveite as condições bancárias únicas oferecidas pela Remax Bravus em parceria com a banca, para comprar CASA NOVA e ficar a pagar uma PRESTAÇÃO MAIS PEQUENA do que num arrendamento.VANTAGENS DESTE APARTAMENTO T31- Cozinha totalmente equipada (Siemens)2- Acabamentos de excelência3- Aspiração central4- Ar condicionado5- Arrecadação6- ParqueamentoAPROVEITE A OPORTUNIDADE. Magnífico T3 com 129m2, a estrear, situado numa das zonas mais prestigiadas da cidade do Montijo agora à venda por mensalidades e condições bancárias absolutamente inacreditáveis.A construção e...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Montijo-Montijo_123641001-205;38.705129;-8.954233;3;;129,00;2009;2;4;129;;;;;;
Apartamento T2 Novo em Pereira do Campo;110.000 €;Excelente apartamento T2, com duas casas banho.Óptimas áreas e acabamentos de qualidade.Boa exposição solar, estando o edifício já equipado com painéis solares.Aspiração central, recuperador de calor, cozinha semi equipada e churrasqueira.Tem uma área bruta dependente de 28 m2, com garagem.Financiamento até 100 %Marque já a sua visita!;A;http://www.remax.pt/Condo-Apartment-For-Sale-Pereira-Montemor-o-Velho_123351002-421;40.183268;-8.585237;2;;538,00;2012;;3;101;;;;;;
Casa Rústica em xisto para restauro;38.000 €;Casa Rústica em xisto para restauro;B;http://www.remax.pt/Cottage-For-Sale-Gandra-Paredes_121911050-195;;;;;70,00;1970;;;70;;;;;;
T5 NOVO NO BESSA PLATINIUM;475.000 €;Ao comprar este apartamento T5 na Freguesia de Ramalde, no Concelho do Porto, estará a investir num imóvel com as seguintes características.Apartamento T5, novo, com muita luminosidade e áreas amplas e bem desenhadas (270m2). A entrada do apartamento é feita por um amplo hall, que nos conduz à sala comum, cozinha, casa de banho de serviço e aos dois halls dos quartos. A sala comum, a principal divisão do apartamento é virada a sul e comunica internamente com a cozinha, com um hall que antecede dois quartos, com a varanda a toda a largura da sala (e de um quarto). A lavandaria é independente da cozinha e apresenta-se no alinhamento desta, comunicando ainda com a varanda, ambas têm luz...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Ramalde-Oporto_122571111-53;41.164893;-8.64217;5;1;322,00;2007;3;6;258;;9º Andar;;;;
T3 NOVO NO BESSA PLATINIUM;295.000 €;Ao comprar este apartamento T3 na Freguesia de Ramalde, no Concelho do Porto, estará a investir num imóvel com as seguintes características.Apartamento T3, novo, com muita luminosidade e áreas amplas e bem desenhadas (193,15m2). Com uma planta simples e prática, separa claramente a zona social da zona íntima da habitação. Do hall de entrada, podemos aceder a todas as divisões, tendo ainda a sala comum e a cozinha comunicação entre si e uma varanda a toda a largura da habitação, virada a sul. A lavandaria é independente da cozinha e encontra-se no alinhamento desta, ambas têm luz natural. Do lado oposto da habitação, estão os três quartos, sendo um, suíte com closet, uma segunda casa de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Ramalde-Oporto_122571111-52;41.164893;-8.64217;3;1;193,00;2007;2;4;183;;1º Andar;;;;
T4 NOVO NO BESSA PLATINIUM;375.000 €;Ao comprar este apartamento T4 na Freguesia de Ramalde, no Concelho do Porto, estará a investir num imóvel com as seguintes características.Apartamento T4, novo, com muita luminosidade e áreas amplas e bem desenhadas (217,65m2). Com uma planta simples e prática, separa claramente a zona social da zona íntima da habitação. Do hall de entrada, podemos aceder a todas as divisões, tendo ainda a sala comum e a cozinha comunicação entre si, e, uma varanda à largura da sala. A lavandaria é independente da cozinha e encontra-se no alinhamento desta, comunicando ainda com a varanda, ambas têm luz natural. Do lado oposto da habitação, estão os quatro quartos, sendo dois, suítes, uma terceira casa...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Ramalde-Oporto_122571111-55;41.164893;-8.64217;4;1;271,00;2007;3;5;212;;6º Andar;;;;
T4 NOVO NO BESSA PLATINIUM;375.000 €;Ao comprar este apartamento T4 na Freguesia de Ramalde, no Concelho do Porto, estará a investir num imóvel com as seguintes características.Apartamento T4, novo, com muita luminosidade e áreas amplas e bem desenhadas (217,65m2). Com uma planta simples e prática, separa claramente a zona social da zona íntima da habitação. Do hall de entrada, podemos aceder a todas as divisões, tendo ainda a sala comum e a cozinha comunicação entre si, e, uma varanda à largura da sala. A lavandaria é independente da cozinha e encontra-se no alinhamento desta, comunicando ainda com a varanda, ambas têm luz natural. Do lado oposto da habitação, estão os quatro quartos, sendo dois, suítes, uma terceira casa...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Ramalde-Oporto_122571111-54;41.164893;-8.64217;4;1;271,00;2007;3;5;212;;7º Andar;;;;
PRÉDIO NOVO A ESTREAR;195.000 €;1 ParqueamentoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               - Forno        ...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-138;;;2;;;2013;2;3;93;;2º Andar;;;;
T4 NOVO NO BESSA PLATINIUM;375.000 €;Ao comprar este apartamento T4 na Freguesia de Ramalde, no Concelho do Porto, estará a investir num imóvel com as seguintes características.Apartamento T4, novo, com muita luminosidade e áreas amplas e bem desenhadas (217,65m2). Com uma planta simples e prática, separa claramente a zona social da zona íntima da habitação. Do hall de entrada, podemos aceder a todas as divisões, tendo ainda a sala comum e a cozinha comunicação entre si, e, uma varanda à largura da sala. A lavandaria é independente da cozinha e encontra-se no alinhamento desta, comunicando ainda com a varanda, ambas têm luz natural. Do lado oposto da habitação, estão os quatro quartos, sendo dois, suítes, uma terceira casa...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Ramalde-Oporto_122571111-56;41.164893;-8.64217;4;1;271,00;2007;3;5;212;;5º Andar;;;;
PRÉDIO NOVO A ESTREAR;177.500 €;1 ParqueamentoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               - Forno        ...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-136;;;2;;;2013;2;3;89;;2º Andar;;;;
PRÉDIO NOVO A ESTREAR;280.000 €;2 ParqueamentosRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               - Forno       ...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-137;;;3;;;2013;2;4;138;;2º Andar;;;;
PRÉDIO NOVO A ESTREAR;280.000 €;2 Parqueamentos1 ArrecadaçãoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               -...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-134;;;3;;;2013;2;4;138;;2º Andar;;;;
PRÉDIO NOVO A ESTREAR;177.500 €;1 ParqueamentoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               - Forno        ...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-135;;;2;;;2013;2;3;89;;2º Andar;;;;
PRÉDIO NOVO A ESTREAR;290.000 €;3 Parqueamentos1 ArrecadaçãoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               -...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-132;;;3;;;2013;2;4;136;;1º Andar;;;;
PRÉDIO NOVO A ESTREAR;170.000 €;1 Parqueamento1 ArrecadaçãoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               -...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-133;;;1;;;2013;1;2;75;;1º Andar;;;;
PRÉDIO NOVO A ESTREAR;170.000 €;1 Parqueamento1 ArrecadaçãoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               -...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-130;;;1;;;2013;1;2;74;;1º Andar;;;;
PRÉDIO NOVO A ESTREAR;170.000 €;1 Parqueamento1 ArrecadaçãoRUA ANDRÉ RESENDE - BENFICA                                                        ACABAMENTOSCOZINHA:                       . Pavimentos e paredes revestidos a cerâmico da Porcelanosa                                          . Tectos em estuque, pintados com tinta plástica                                            . Móveis de cozinha com portas em Faia, da Mob                                          . Electrodomésticos de integrar                                              -  Exaustor plano                                             -  Placa com 4 bicos a gás                                               -...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_120531040-131;;;1;;;2013;1;2;74;;1º Andar;;;;
T3 - Empreendimento nos Olivais;255.000 €;Apartamento inserido num empreendimento em Santo António dos Olivais. Zona tranquila com áreas ajardinadas e próxima de vários serviços.O imóvel apresenta boa exposição solar, divisões com dimensões interessantes, cozinha totalmente equipada, aquecimento e aspiração central. Quartos com roupeiros embutidos. Acabamentos modernos e de qualidade. Garagem/aparcamento.Condições especiais de financiamento, sujeito a aprovação de crédito* Fotografias do andar modelo;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santo-Antonio-dos-Olivais-Coimbra_123351005-97;40.217297;-8.402333;3;;494,00;2011;2;4;140;;1º Andar;;;;
Empreendimento PANORAMIC - Parque das Nações Centro - T3;530.000 €;Venha viver com uma vista inigualável, acorde com um quadro maravilhoso todos os dias!Apartamento T3, no empreendimento de Luxo PANORAMIC, com segurança 24H quer na entrada do prédio quer nas garagens, espaço de jardim.Se quer viver numa zona de prestígio, NO CENTRO DE TUDO, venha já conhecer esta maravilhosa casa com acabamentos de luxo.Nesta rua principal do Parque das Nações podemos encontrar vários hotéis, entre os quais o melhor hotel em Portugal – Sana Hotel com sete estrelas. Mesmo à porta da sua nova casa tem o conhecido Casino de Lisboa, o Teatro Camões, o Centro de Exposições, o MEO Arena (onde podemos assistir a espetáculos maravilhosos ao longo de todo o ano), o...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_121491209-85;38.773881;-9.097925;3;;8.500,00;2009;2;4;114;;Acima do 10º Andar;;;;
T2 - Avenidas Novas - Rêgo;248.000 €;Excelente T2 - seminovo, no Rêgo (Avenidas Novas).Perto da Praça de Espanha, na Rua Dr. Álvaro Castro.Imovel com ar condicionado, parqueamento, aspiração central e arrecadação.Não deixe de conhecer a sua próxima casa!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Nossa-Senhora-de-Fatima-Lisbon_121491209-86;38.74097;-9.156835;2;;890,00;2004;2;3;118;;3º Andar;;;;
T2 Fantástico na Quinta Santa Teresa - Vista Mar;170.000 €;Excelente apartamento numa zona de excelência.Vista de mar e a 1km da praia.Garagem Box.Acabamentos de qualidade.Venha já conhecer a sua próxima casa!;B;http://www.remax.pt/Condo-Apartment-For-Sale-CHARNECA-de-CAPARICA-ALMADA_121491209-87;38.629548;-9.203075;2;;386,00;2008;1;3;106;;2º Andar;;;;
Phenthouse ÚNICA em Lisboa - LAPA - VISTA RIO - NOVO;750.000 €;Fantástica Phenthouse com vista frontal de Rio, na Lapa, em frente à Residência Oficial do 1º Ministro.Venha-se deslumbrar com este apartamento único em Lisboa com um terraço por cima da nossa bela cidade com 100m2.4 Quartos, 3 em suite, NOVO A ESTREAR!Último Andar, 5º piso, com elevador, arrecadação e parqueamento da fração (a 150m do edifício).Excelente Investimento.;A;http://www.remax.pt/Penthouse-For-Sale-Lapa-Lisbon_121491209-80;38.712906;-9.156037;4;1;450,00;2014;3;5;394;;5º Andar;;;;
T3 NOVO JUNTO AO METRO !!!;100.000 €;T3 Novo à Cidade Jovem. Composto por 3 frentes, cozinha equipada com placa, forno e exaustor.Fogão de sala c/ recuperador de calor, video porteiro, roupeiros embutidos, suite, varanda na sala e outra no quarto.Faz ainda parte desta fracção, um lugar de garagem coberto e outro descoberto.Ligue para agendar a sua visita.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Rio-Tinto-Gondomar_123551071-22;41.177873;-8.544909;3;;120,00;2000;2;4;95;;1º Andar;;;;
T2 |ATÉ 100% FINANCIAMENTO|VARANDAS DA VENEZUELA;215.000 €;Inserido no empreendimento "Varandas da Venezuela" localizado no Centro do Porto , entre o Campo Alegre e a Boavista numa das melhores zonas da cidade.Na sua envolvente tem a Casa das Artes, Jardim Botânico, Teatro Campo Alegre, Planetário do Porto, Casa da Música e o Museu de Arte Contemporânea de Serralves.Nas imediações existem ainda vários centros e ruas comerciais, escolas e pólos universitários servidos por uma completa rede rodoviária e de transportes.Este empreendimento constituído em propriedade horizontal , abrange cerca de 5.550 m2 de jardins e pátios exteriores comuns.Com uma localização privilegiada , o empreendimento  disponibiliza amplos espaços verdes  e de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Lordelo-do-Ouro-Oporto_123571022-182;41.159242;-8.646329;2;;137,00;2011;2;3;103;;7º Andar;;13;;
Magnificos apartamentos Novos de 3 e 4 assoalhadas.;98.000 €;  Magnificos apartamentos Novos de 3 e 4 assoalhadas.Situados numa urbanização nova, com vista excelente sobre a natureza.Todos com parqueamento, arrecadação e cozinha totalmente equipada com Teka.Pré-instalação de ar condicionado.Vialonga é uma zona em grande desenvolvimento, situada estratégicamente em termos de localização a 3 min da A1, 3min de Alverca, 3 min da Póvoa de Santa Iria e Forte da Casa, a 8 min da CREL, Loures e 5 min de Santa Iria da Azóia.Possibilidade de Permuta.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Vialonga-Vila-Franca-de-Xira_122171006-240;;;2;;;2008;2;3;92;;1º Andar;;;;
MORADIA T3, CONSTRUÇÃO NOVA, EXCELENTE OPORTUNIDADE;157.500 €;Moradia T3, de construção nova, com garagem, jardins e terraço amplo na cobertura.Em zona sossegada, no entanto a poucos minutos de Portimão e de Lagos.Excelente qualidade de construção, a um óptimo preço.( Direito de Superfície );B;http://www.remax.pt/Two-Family-House-For-Sale-Mexilhoeira-Grande-Portimao_122881057-359;37.165207;-8.602724;3;1;126,00;2010;2;5;176;;;;;;
Apartamento T2 Novo;121.000 €; É o mais distinto e relevante empreendimento imobiliário e turístico que a Figueira da Foz viu nascer nos últimos anos. Composto por 6 edifícios no total de 244 apartamentos. Com uma extraordinária luminosidade que as amplas janelas de vidro lhe conferem, os apartamentos do Galante Residences refletem um grande conforto interior mas também uma vista marítima de eleição. Aqui, você e a sua familia conviverão na comodidade de um espaço de grande modernidade.Disponíveis nas tipologias T0 a T4 e com varandas em quase todas as unidades, os apartamentos Galante Residences destacam-se pela arquitectura contemporânea, o bom gosto e pelo apoio do número de lojas e espaços públicos que...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Sao-Juliao-da-Figueira-da-Foz-Figueira-da-Foz_123831003-61;;;2;;506,00;2013;;3;68;;R/C;;;;
Apartamento em Condomínio de Luxo "Entre Quintas";200.000 €;Magnifico apartamento em 20º andar, com orientação solar Nascente/ Poente. Dispõe de 4 wc´s, sendo que uma é de serviço e outra completa, 2 suites, cozinha totalmente equipada, 2 lugares de garagem e arrumos.Neste condomínio, tem à sua disposição piscina, ginásio, dois courts de ténis, videovigilância e segurança 24h/dia.A sua localização privilegiada, junto à Quinta da Conceição e Museu de Casa de Santiago, dista cerca de 1000mts da praia, com todos os meios viários disponíveis, transportes públicos e autoestradas Norte/ Sul.Valor de venda inferior ao valor patrimonial.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Leca-da-Palmeira-Matosinhos_123681001-458;41.194069;-8.691875;3;1;171,00;2006;3;4;141;;Acima do 10º Andar;;;;
FINANCIAMENTO A 100%-MORADIA EM BANDA T4;149.000 €;Moradia em banda T4, situada no Loteamento Quinta da Vila Laura em Oliveira do Hospital.Cave constítuida por garagem, terraço, barbecue, cozinha, despensa, arrumos, lavandaria, casa de banho e sala com recuperador de calorRés do chão constituido por cozinha mobilada, casa de banho, sala com recuperador de calor, 2 varandas1º andar constituido por 2 quartos, casa de banho e suite com closet2º andar estúdio com casa de banhoNa cidade, com acabamentos de luxo!Fantástica oportunidade de Negócio ! Venha conhecer!;B;http://www.remax.pt/Two-Family-House-For-Sale-Oliveira-do-Hospital-Oliveira-do-Hospital_122461050-233;40.360861;-7.862203;4;2;155,00;2006;3;5;274;;;;;;
Moradia T4+2 em Ovar, Arada;478.000 €;  Moradia T4+2 em Ovar, Arada:Isolada com 2 pisos e 8 assoalhadas. Possui 4 Suites, 2 WC's, dois salões de requinte, uma sala de estar, 2 estúdios, salão de jogos, cozinha equipada, lavandaria, churrasqueira e anexos. Uma qualidade e conforto de excelência: aquecimento central, aspiração central, lareira com recuperador, estores elétricos e ar condicionado em todas as divisões. A ótima exposição solar fornece a luminosidade merecedora de todas as fantásticas divisões. O espaço exterior com piscina e jardim complementam esta moradia na sua combinação perfeita. A realçar os acabamentos de luxo e os detalhes em granito e mármore. O toque Oriental irá fazê-lo sentir-se lá fora, sem sair de...;B;http://www.remax.pt/Two-Family-House-For-Sale-Arada-Ovar_122231053-1578;40.909399;-8.594958;4;2;1.575,00;2005;4;8;450;;;;;;
AV. GAL. ROÇADAS - ÚLTIMA OPORTUNIDADE - T2;330.000 €;Na melhor localização da Penha de França, Avenida General Roçadas.Próximo a E. B. Nuno Gonçalves e E. B. Natália Correia e também E. S. Dona Luísa de Gusmão.Todo comércio tradicional na vizinhança, facilidade de transportes públicos.O apartamento, um exclusivo, personalizado ao seu gosto, possibilidade de escolhas de acabamento a partir do andar modelo. Sala e quartos em piso flutuante/clic com isolamento acústico, roupeiros, pré instalação de ar condicionado e amplas varandas.Todos com suíte com banheira e casa de banho social com base de duche de 1,20m.Portas em branco mate, janelas em vidro duplo com corte térmico em branco/cinza, estores...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Penha-de-Franca-Lisbon_122911104-17;38.725958;-9.12763;2;;400,00;2014;2;3;116;1;2º Andar;;6;;
