titulo;preco;desc;erate;url;lat;lng;Quartos;Lugares de Estacionamento;WC's;Tam. do Lote (m²);Ano Construção;Total m² ;Casas de Banho;Total de Assoalhadas;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:
;612.000 €;Apartamento a estrear nos  Olivais a 5 minutos do Aeroporto. ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_120611204-76;38.762724;-9.113448;3;;;156,00;2010;156;;4;;;;
;612.000 €;Apartamento a estrear nos Olivais a 5 minutos do Aeroporto. ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_120611204-75;38.762724;-9.113448;3;;;156,00;2010;156;;4;;;;
MORADIA T3 NOVA * GOLF * ;400.000 €;  No magnífico Golf & Country Club de Castro Marim você encontra a casa e o lugar para viver... se procura o paraíso na terra. Venha e comprove!!!!!!;A+;http://www.remax.pt/Two-Family-House-For-Sale-Castro-Marim-Castro-Marim_123371027-34;37.217942;-7.442334;3;;1;1.170,00;2011;220;2;4;;202,00;;
Apartamentos NOVOS;277.500 €;Fantásticos apartamentos a estrear em zona central e de referência, excelente localização, muita luminusidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de aluminio, pavimentos em Sucupira envernizada, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado(solução por condutas).2 lugares de parqueamento, arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911114-78;38.696805;-9.2991;3;;;148,00;2012;148;;4;2º Andar;;;
Condominio do Carmo T3+1 com terraço;360.000 €;O Condomínio do Carmo está situado em Odivelas e distingue-se pelo seu design moderno e inovador e pelo tipo de construção utilizando as últimas técnicas construtivas.Para além disso o Condomínio do Carmo, esta inserido numa zona residencial perto das escolas, com facilidade de transportes e rodeado das mais variadas infra-estruturas comerciais, com  óptimas ligações rodoviárias, dando estas ligações a vários destinos. T3 + 1, com garagem fechada para 4 viaturas.A harmonia estética está patente em cada traço, dando-lhe um toque de requinte e sofisticação, e ainda uma organização de espaços invejável com a escolha dos mais adequados materiais de acabamento, garantindo...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Odivelas-Odivelas_122841001-69;38.785533;-9.190418;3;;1;1.754,00;2010;238;2;4;1º Andar;;3;
Moradia Individual T3;145.000 €;Moradia composta por Cave: garagem, escritório, casa de banho e arrumo,                                 R/C: sala, cozinha, casa de banho e despenda,                                 Andar: 3 quartos (1suite), casa de banho.Esta moradia tem aquecimento central a lenha, logradouro, AC na zona dos quartos, lareira.Não deixe de visitar...PS;A+;http://www.remax.pt/Two-Family-House-For-Sale-Souto-(Sao-Salvador)-Guimaraes_123061061-38;41.498799;-8.292183;3;;1;450,00;2003;220;3;5;;;;
Apartamento Novo com Financiamento a 100%!;210.000 €;Apartamentos com excelentes áreas e alta qualidade de construção, em prédio de arquitectura moderna, situado na Nova Azeda, em Setúbal.Fáceis acessos á A1 e a zonas comerciais, a 2 minutos do futuro Centro Comercial Alegro de Setúbal.Condições especiais de financiamento a 100%! Pormenores Técnicos: - Caixilharia em alumínio lacado á côr natural c/rotura térmica e vidro duplo,- Estores das janelas em alumínio termolacado e das varandas e terraço, com estoresBrisa, com comando eléctrico,- Pré-instalação de ar condicionado em todas as divisões, incluindo na cozinha,- Aquecimento de águas sanitárias através de painéis solares individuais com  depósito...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Setubal-(Sao-Sebastiao)-Setubal_123411019-89;38.542006;-8.877398;3;;;;2012;150;;4;2º Andar;;;
Apartamentos NOVOS;275.000 €;Fantásticos apartamentos a estrear em zona central e de referência, excelente localização, muita luminusidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de aluminio, pavimentos em Sucupira envernizada, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado(solução por condutas).2 lugares de parqueamento, arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911114-72;38.696805;-9.2991;3;;;148,00;2012;148;;4;3º Andar;;;
t3 novo de luxo a 5 minutos do Norteshopping;192.000 €;Construção de excelência dividida por 2 blocos de apartamentos de luxoEste t3 tem acabamentos de luxo e materiais de construção da mais alta gama.Apartamento construido ao mais elevado nível com áreas auspiciosas e amplas.Pavimentos de sucupiraCozinhas em granito e totalmente equipadas "Bosch"Possibilidade de escolher acabamentos finaisQualidade e conforto na mais perfeita harmonia onde viver é um prazer..ligue-me para visitar e conheça um dos mais fabulosos apartamentos para construir um lar...o seu lar;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Paranhos-Oporto_122071062-165;41.551676;-8.596996;3;;;170,00;2013;140;;4;;;;
T3 de luxo novo a estrear ao Amial;189.000 €;Apartamento com acabamentos de luxo inserido em prédio de 9 pisosAcabamentos personalizadosMateriaos de alta qualidadeConsulte me para que possa fazer-lhe uma apresentação mais detalhada sobre toda a construção deste apartamento, materiais utilizados, sistemas e caraterísticas desta magnífica construção, em plena cidade com sabor a qualidade de vida ali bem pertinho do Norteshopping, saídas de cidade e ao mesmo tempo tão perto do centro do Porto...Arrisque viver em qualidade e Harmonia, onde o conforto e a tranquilidade são uma mais valia no prazer que é morar neste magnifíco edifício único... ligue-me para mais detalhes será um prazer apresentar-lhe o que o Porto tem de...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Paranhos-Oporto_122071062-166;41.551676;-8.596996;3;;;142,00;2013;122;;4;;;;
t3 edificio Belo Horizonte novo a estrear;220.000 €;Vídeo Porteiro • Instalação de Rede de Gás • Instalação preparada para TV Cabo • Aquecimento Central (Caldeiras e Radiadores) • Banheira de Hidromassagem • Móveis de Lavatório com Espelho • Garagem Fechada • Cozinhas com Placa, Forno, Exaustor, Combinado e Máquina de Lavar Louça • Pontos de Ligação de TV na Cozinha, Sala e Quartos • Estores Eléctricos • Portas de Entrada Blindadas • Som Ambiente Completo • Aspiração Central CompletaGaragem fechadaPossibilidade de escolher acabamentosvisite jaaaa;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Pedroucos-Maia_122071062-149;;;3;;;178,00;2014;143;;4;;;;
Apartamentos NOVOS;257.500 €;Fantásticos apartamentos a estrear em zona central e de referência, excelente localização, muita luminusidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de aluminio, pavimentos em Sucupira envernizada, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado(solução por condutas).2 lugares de parqueamento, arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911114-76;38.696805;-9.2991;3;;;144,00;2012;144;;4;2º Andar;;;
t3 em empreendimento de luxo;187.000 €;T3 de Luxo com construção de 1ª qualidadeAcabamentos de luxoExcelentes áreasSuite com quarto de vestir em alguns dos apartamentos deste empreendimentoReceção montada para eventuais visitas ou ate reunioes de condominio, num conforto unicoLigue me para eventuais esclarecimentos e visitas;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Paranhos-Oporto_122071062-161;41.551676;-8.596996;3;;;150,00;2013;130;;4;;;;
t3 com vistas fantasticas sobre a cidade e o mar;185.000 €;T3 de Luxo com construção de 1ª qualidadeAcabamentos de luxoExcelentes áreasSuite com quarto de vestir em alguns dos apartamentos deste empreendimentoReceção montada para eventuais visitas ou ate reunioes de condominio, num conforto unicoLigue me para eventuais esclarecimentos e visitas;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Paranhos-Oporto_122071062-162;41.551676;-8.596996;3;;;150,00;2013;130;;4;;;;
NOVO - MORADIA DE SONHO EM HARMONIA COM A NATUREZA;535.000 €;  Fantástica moradia inserida no empreendimento Quinta de São Sebastião, no topo da Vila de Barcarena, com excelente vista de campo e mar! Áreas amplas e layout interno moderno e funcional, eficiência energética A+, construção de elevada qualidade e cuidada seleção de acabamentos e equipamentos. Cozinha totalmente equipada. Aspiração central e alarme volumétrico contra intrusão. Ar condicionado Mitsubishi. Painéis solares Vulcano (águas quentes). Estacionamento privativo para 3 automóveis.Proximidade de importantes eixos rodoviários e a poucos minutos de áreas...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Barcarena-Oeiras_120181138-244;38.719933;-9.269425;4;;1;290,00;2008;265;3;5;;;3;
EXCELENTE QUINTA;237.000 €;Excelente quinta com piscina localizada a 20 minutos de Évora totalmente reconstruida. Constituida por sala ampla, cozinha totalmente equipada e zona de refeições com uma magnifica vista alentejana, 2 quartos, ampla casa de banho. Ar condicionados em várias divisões e aquecimento central. Existe ainda vários anexos e garagem. Exterior totalmente ajardinado, morado e vedado,  piscina, cultura arvense com várias arvores de fruto,  23 de oliveiras e poço rustico. Este imóvel poderá ser negociado com mobilias. ;A+;http://www.remax.pt/Farm-For-Sale-Nossa-Senhora-de-Machede-Evora_120121085-124;;;2;;;4.000,00;1957;237;1;4;;;;
Moradia T3+1 Nova;175.000 €;Fabulosa Moradia T3+1 inserida em loteamento.Em fase de construção, possibilidade de escolher os acabamentos.Aquecimento central com caldeira mural de condensação, pré-instalação de ar condicionado, tetos falsos com iluminação embutida, carpintarias em madeira exótica, recuperador de calor a água, estores elétricos, painéis solares, terraço, varanda, churrasqueira.Cozinha equipada com frigorífico, máquina de lavar louça, placa vitro-cerâmica, forno e exaustor.Garagem: 35 m2Sala comum: 32 m2Cozinha: 16 m2Escritório: 14 m2Quarto: 16 m2Quarto: 14 m2Suite: 23 m2;A+;http://www.remax.pt/Two-Family-House-For-Sale-Barcouco-Mealhada_123351030-9;;;3;;1;263,00;2012;244;2;4;;;;
Casa de sonho !;1.250.000 €;Magnifica casa, com 3 pisos, localização única e vista mar. Situada nas Sesmarias uma zona calma de moradias, mas a 3 minutos do centro da cidade e perto da praia e de campos de golfe. Piso -1 composto por garagem, vestibulo, casa das máquinas, WC, pátio e elevador.Piso 0, com pátio de entrada, vestíbulo, sala de estar com vista sobre a piscina, cozinha e sala de jantar, quarto em suite, biblioteca, pátio, WC, casa de banho, lavandaria, arrumo,  elevador, piscina e pomar.Piso 1, composto por vestíbulo, 3 quartos em suite, varanda , arrumo, elevador e casa de banho.Não há palavras para descrever o quão fabulosa é esta moradia, marque já a sua visita e veja por...;A+;http://www.remax.pt/House-For-Sale-Portimao-Portimao_122881069-17;37.109913;-8.489696;4;;2;688,00;2006;533;6;7;;;3;
Exclusiva Cobertura T5+1 Duplex no Alto do Restelo;980.000 €;Receba os seus convidados directamente no 8º piso e decida em qual dos dois terraços irão desfrutar de um fantástico jantar: terraço sul com vista para o Tejo, ou terraço norte com vista para Monsanto.O 8º piso piso deste T5 duplex oferece-lhe uma área ampla de quase 60m2 de sala confrontada por dois generosos terraços, uma casa de banho de serviço, uma ampla cozinha totalmente equipada e com zona de arrumos.O 7º piso é acessível através da escadaria junto à sala ou pelo elevador do edifício. Lá encontramos 6 cómodos: quatro quartos de áreas generosas, uma ampla suite com mais de 21m2 com closet e varanda, e uma rouparia que poderá servir como quarto de empregada. As janelas foram...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Sao-Francisco-Xavier-Lisbon_122201320-54;38.71136;-9.207362;5;;1;;2013;270;3;7;8º Andar;250,00;;
Condomínio Privado, categoria A +;280.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palm´s Residence Club é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Disponiveis apartamentos T2 e T3.Todas as frações têm 2 ou 3 estacionamentos privativos.Contacte-nos!Marque a sua visita!Tome decisões certas!;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-167;38.751052;-9.202669;2;;;4.390,00;2011;129;3;3;;;;
Apartamentos NOVOS - Excelentes acabamentos;342.500 €;Fantásticos apartamentos Novos, a estrear em zona central e de referência, excelente localização, muita luminosidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de alumínio, pavimentos flutuante em Faia, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado (solução por condutas).Cozinha totalmente equipada com eletrodomésticos SMEG.Quartos com roupeiro, Boas varandas, 2 lugares de parqueamento e arrecadação.Venha conhecer, óptimos preços!;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911114-69;38.688707;-9.342712;3;2;;193,00;2013;176;3;4;5º Andar;176,00;;
Condomínio Privado, categoria A +;300.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Fração com 1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-165;38.751052;-9.202669;2;;;4.390,00;2011;129;3;3;;;;
Condomínio Privado, categoria A +;290.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Fração com 1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-164;38.751052;-9.202669;2;;;4.390,00;2011;129;3;3;;;;
Condomínio Privado, categoria A+;245.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Fração com 1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-163;38.743247;-9.198614;2;;;4.390,00;2011;112;2;3;;;;
Condomínio Privado, categoria A+;350.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Em frente ao Parque Natural de Monsanto.1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-162;;;3;;;4.390,00;2011;167;3;3;;;;
Condomínio Privado, categoria A+;350.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa.Em frente ao Parque Natural de Monsanto.1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-161;;;3;;;4.390,00;2011;167;3;3;;;;
Condominio Privado A+;320.000 €;Compre a sua casa em Condomínio Privado, categoria A+.O Monsanto Palms é um empreendimento energeticamente eficiente, construido com os mais avançados materiais que possibilitam a optimização e aproveitamento energético.Inserido no bairro histórico do Calhariz de Benfica, está localizado no coração desta zona tradicional de Lisboa, tendo à sua frente o magnífico Parque Natural de Monsanto.Disponiveis apartamentos T2 e T3.Todas as frações têm 1 parqueamento para 2 viaturas.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Benfica-Lisbon_121491187-160;38.743243;-9.198716;3;;;4.390,00;2011;135;3;4;;;;
VIVER NA FOZ;365.000 €;Nascido no encontro da Rua do Carvalho com a Rua Diogo Botelho que lhe dá o nome, o Edifício Foz Diogo Botelho beneficia de uma localização privilegiada em pleno Porto, a desaguar na Foz. Com zonas verdes à sua volta, espaços abundante, amplas vistas e todos os serviços e comodidades de uma zona que desde sempre tem vindo a fixar os mais exigentes portuenses.Localizado junto à Universidade Católica, são imediatas as ligações do Edifício tanto à Praça do Império e Foz, para um lado, como à Rua Diogo Botelho, Campo Alegre e VCI, pelo outro.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Foz-do-Douro-Oporto_123571053-184;41.152228;-8.654504;3;;;155,00;2012;147;;4;1º Andar;;;
T2 - parqueamento  - NOVO;220.000 €; Procura um lugar para viver com qualidade acima da média, o edifício "Miradouro Plaza" apresenta-se como uma  inovadora e distinta da restante oferta imobiliária na zona da Quinta Grande – Alfragide. No edifício "Miradouro Plaza" foi atingida a mais elevada qualidade funcional e estética. Os mais elevados padrões estão presentes na qualidade de construção, nos acabamentos interiores, na aplicação de isolamentos térmicos e acústicos, na fachada ventilada, nas cozinhas totalmente equipadas e no rigor em termos de sustentabilidade energética que permitem a obtenção da certificação energética A+.  Um apartamento eficiente a menos de 5 minutos de Lisboa. Viver na Quinta Grande é beneficiar de...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Alfragide-Amadora_123291068-25;38.73682;-9.224931;2;;;616,00;2011;100;2;3;2º Andar;;;
Moradia individual! NOVO PREÇO!;119.900 €;Moradia inserida num lote 545m2 numa zona calma e com vistas fantásticas. A 5 minutos de Vila Verde e perto de comércios.Esta moradia tem todas as divisões num só piso, apenas a garagem se situa na cave, fazendo dela uma moradia térrea ideal para quem tem problemas de mobilidade.A cozinha fica mobilada e equipada com placa, forno e exaustor. A sala de estar e quarto principal têm ar condicionado. Possui banheira de hidromassagem no quarto de banho principal. Na cave encontramos um espaço amplo para 4 carros, um quarto de banho com duche de hidromassagem e um escritório.O exterior tem jardim relvado com várias árvores e plantas.;A+;http://www.remax.pt/123001034-162;;;3;;1;545,00;2001;300;2;4;;;;
T3 - Box para 2 carros -  NOVO;295.000 €;Procura um lugar para viver com qualidade acima da média, o edifício "Miradouro Plaza" apresenta-se como uma  inovadora e distinta da restante oferta imobiliária na zona da Quinta Grande – Alfragide. No edifício "Miradouro Plaza" foi atingida a mais elevada qualidade funcional e estética. Os mais elevados padrões estão presentes na qualidade de construção, nos acabamentos interiores, na aplicação de isolamentos térmicos e acústicos, na fachada ventilada, nas cozinhas totalmente equipadas e no rigor em termos de sustentabilidade energética que permitem a obtenção da certificação energética A+.  Um apartamento eficiente a menos de 5 minutos de Lisboa. Viver na Quinta Grande é beneficiar de...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Alfragide-Amadora_123291068-27;38.73682;-9.224931;3;;1;616,00;2011;175;2;4;R/C;;;
T2 - Box para 1 carro  - NOVO;225.000 €;Procura um lugar para viver com qualidade acima da média, o edifício "Miradouro Plaza" apresenta-se como uma  inovadora e distinta da restante oferta imobiliária na zona da Quinta Grande – Alfragide. No edifício "Miradouro Plaza" foi atingida a mais elevada qualidade funcional e estética. Os mais elevados padrões estão presentes na qualidade de construção, nos acabamentos interiores, na aplicação de isolamentos térmicos e acústicos, na fachada ventilada, nas cozinhas totalmente equipadas e no rigor em termos de sustentabilidade energética que permitem a obtenção da certificação energética A+.  Um apartamento eficiente a menos de 5 minutos de Lisboa. Viver na Quinta Grande é beneficiar de...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Alfragide-Amadora_123291068-26;38.73682;-9.224931;2;;;616,00;2011;100;2;3;5º Andar;;;
